,decays,slopes
0,15,0.3181448906658898
1,30,0.24243765134964732
2,45,0.21474704966817218
3,60,0.20180583272936078
4,75,0.19325967227394877
5,90,0.18903859033237075
6,180,0.1771338606493515
7,285,0.1743462627315361
8,390,0.1728174745771377
9,480,0.17193349916494574
