,mean_acc,std_acc
binned_uniform_from_0_to_0,0.7571200013160706,0.00260875729766048
binned_uniform_from_0_to_6,0.738699996471405,0.006987141220926676
binned_uniform_from_0_to_12,0.7056599974632263,0.02366217172139883
binned_uniform_from_0_to_18,0.6695799946784973,0.05076429348403956
binned_uniform_from_0_to_25,0.613560003042221,0.08417107927064128
binned_uniform_from_0_to_31,0.5966600060462952,0.0814876239910014
binned_uniform_from_0_to_37,0.5750200033187867,0.05766224662752117
binned_uniform_from_0_to_43,0.533160001039505,0.054897419267841516
binned_uniform_from_0_to_50,0.4498599827289581,0.05645966574109516
binned_uniform_from_0_to_56,0.41604000329971313,0.03075416371063334
binned_uniform_from_0_to_62,0.3622399985790253,0.0671664728959139
binned_uniform_from_0_to_68,0.2994399964809418,0.09030050942301365
binned_uniform_from_0_to_75,0.2176800012588501,0.04564201853359535
binned_uniform_from_0_to_81,0.16600000262260436,0.0384698856975459
binned_uniform_from_0_to_87,0.13284000009298325,0.012244444054511411
binned_uniform_from_0_to_93,0.11016000062227249,0.008970529760470438
binned_uniform_from_0_to_100,0.10000000149011612,0.0
