,decays,slopes
0,15.0,0.38060770681131256
1,30.0,0.2763676224401162
2,45.0,0.24132889296562582
3,60.0,0.22685513338310775
4,75.0,0.21735842556034746
5,90.0,0.2120311097258768
6,105.0,0.2083814634079175
7,120.0,0.2071670008474335
8,135.0,0.2055292524404809
9,150.0,0.2040892327477237
10,165.0,0.2031193089343567
11,180.0,0.20330885209251212
12,195.0,0.20148403519961522
13,210.0,0.20000720387477777
14,225.0,0.20186977789685345
15,240.0,0.20018653740362546
16,255.0,0.20038227557170793
17,270.0,0.20058518592259944
18,285.0,0.20053212323735448
19,300.0,0.1982080333785902
20,315.0,0.19864570938600473
21,330.0,0.19989557513188166
22,345.0,0.20048329155636163
23,360.0,0.19861975350455466
24,375.0,0.1981346422487698
25,390.0,0.19778115146236513
26,405.0,0.19765498909067516
27,420.0,0.19857703438019592
28,435.0,0.1986410331641319
29,450.0,0.19659526608422542
30,465.0,0.19859202469956977
31,480.0,0.19745512249436217
