,mean_acc,std_acc
binned_uniform_from_0_to_0,0.3098800003528595,0.006923405028865057
binned_uniform_from_0_to_6,0.30238000154495237,0.013852275396531393
binned_uniform_from_0_to_12,0.29540000557899476,0.017972197313095115
binned_uniform_from_0_to_18,0.28795999884605405,0.017016066849663027
binned_uniform_from_0_to_25,0.2746199905872345,0.021257598451801387
binned_uniform_from_0_to_31,0.26433999836444855,0.01028972212159715
binned_uniform_from_0_to_37,0.25286000072956083,0.02092286993380098
binned_uniform_from_0_to_43,0.22403999865055085,0.02739288972151087
binned_uniform_from_0_to_50,0.1987999975681305,0.027939293156897367
binned_uniform_from_0_to_56,0.1789599984884262,0.02991859528892406
binned_uniform_from_0_to_62,0.16881999522447586,0.030173987220708194
binned_uniform_from_0_to_68,0.15525999963283538,0.02691249429173134
binned_uniform_from_0_to_75,0.1355400025844574,0.008168380329819551
binned_uniform_from_0_to_81,0.12533999979496002,0.005158528728116776
binned_uniform_from_0_to_87,0.1112199991941452,0.009659274175996123
binned_uniform_from_0_to_93,0.10502000153064728,0.005074012045877598
binned_uniform_from_0_to_100,0.10000000149011612,0.0
