,decays,slopes
0,15.0,1.75031389466567
1,30.0,1.634506686193856
2,45.0,1.571128044591235
3,60.0,1.5366664854606742
4,75.0,1.5363503147507578
5,90.0,1.531507532995632
6,105.0,1.5199507108692882
7,120.0,1.4983838681334618
8,135.0,1.5072215366003103
9,150.0,1.5122137167227123
10,165.0,1.5134923625023429
11,180.0,1.4984899808393237
12,195.0,1.4988832416899096
13,210.0,1.4943945494183775
14,225.0,1.495747260202094
15,240.0,1.5009733454347227
16,255.0,1.5021515165155461
17,270.0,1.4969707981952065
18,285.0,1.50587208454479
19,300.0,1.4946710111798873
20,315.0,1.4948933273148308
21,330.0,1.4580671665187122
22,345.0,1.4850569099115525
23,360.0,1.488652951387426
24,375.0,1.4800250904982613
25,390.0,1.504452617098911
26,405.0,1.4902058649911363
27,420.0,1.491617551897811
28,435.0,1.478644090982328
29,450.0,1.4671043453816646
30,465.0,1.4754314031747162
31,480.0,1.4678214594612562
