,decays,slopes
0,15,0.25691491876397315
1,30,0.18525164592984925
2,45,0.15780191856996326
3,60,0.14347544633135798
4,75,0.1353427380085017
5,90,0.13016250011127523
6,180,0.11762101015770868
7,285,0.11397657685382045
8,390,0.11205858176736654
9,480,0.11076293284651167
