,mean_acc,std_acc
binned_uniform_from_0_to_0,0.8520599961280823,0.003566846531363136
binned_uniform_from_0_to_6,0.825820016860962,0.01021007203124831
binned_uniform_from_0_to_12,0.79132000207901,0.02799024557481346
binned_uniform_from_0_to_18,0.7467000007629394,0.032120269974712574
binned_uniform_from_0_to_25,0.6929000020027161,0.03237931015280325
binned_uniform_from_0_to_31,0.5901600003242493,0.049131925858324973
binned_uniform_from_0_to_37,0.46137999296188353,0.025258610297552105
binned_uniform_from_0_to_43,0.36537999510765073,0.061887847534699045
binned_uniform_from_0_to_50,0.2546599984169006,0.07904582490046044
binned_uniform_from_0_to_56,0.22621999830007553,0.09351306291223346
binned_uniform_from_0_to_62,0.16659999936819075,0.055511692319374535
binned_uniform_from_0_to_68,0.1510000005364418,0.03480149648566706
binned_uniform_from_0_to_75,0.11790000051259994,0.007139467901256518
binned_uniform_from_0_to_81,0.1188400000333786,0.009363035143115943
binned_uniform_from_0_to_87,0.11668000072240829,0.004369165347622786
binned_uniform_from_0_to_93,0.11363999843597412,0.00017435531970269025
binned_uniform_from_0_to_100,0.11349999904632568,0.0
