,mean_acc,std_acc
binned_uniform_from_0_to_0,0.8520999908447265,0.0030594073877726574
binned_uniform_from_0_to_6,0.8522799968719482,0.004079899115931579
binned_uniform_from_0_to_12,0.8332399964332581,0.011236460802188385
binned_uniform_from_0_to_18,0.809220016002655,0.004875823230824662
binned_uniform_from_0_to_25,0.7974599957466125,0.01034457372560092
binned_uniform_from_0_to_31,0.7823799967765808,0.012105778003870507
binned_uniform_from_0_to_37,0.7722000002861023,0.01752963746112369
binned_uniform_from_0_to_43,0.7472599983215332,0.022812869483231454
binned_uniform_from_0_to_50,0.718559992313385,0.033358764032691925
binned_uniform_from_0_to_56,0.6908800005912781,0.0347881351818245
binned_uniform_from_0_to_62,0.6056999921798706,0.03528166681662515
binned_uniform_from_0_to_68,0.5490200042724609,0.02613192199563225
binned_uniform_from_0_to_75,0.5450199902057647,0.05484171676359244
binned_uniform_from_0_to_81,0.4434399902820587,0.0652065192274879
binned_uniform_from_0_to_87,0.36471999883651735,0.041174910854417525
binned_uniform_from_0_to_93,0.24686000347137452,0.039093410154743886
binned_uniform_from_0_to_100,0.11349999904632568,0.0
